ico_id,date_id,project_id,platform_id,category_id,token_role_id,raised_usd,ico_price,fundraise_goal,total_token,sold
ICO0,DA0,PRO0,PLAT0,CAT0,TR0,6600000,,,1000000000,15.6
ICO1,DA39,PRO46,PLAT0,CAT0,TR0,240000,0.25,240000,,
ICO2,DA309,PRO367,PLAT0,CAT0,TR0,6600000,0.36,28800000,1000000000,
ICO3,DA309,PRO368,PLAT2,CAT2,TR0,5500000,0.01,200000,10000000000,
ICO4,DA309,PRO369,PLAT1,CAT4,TR0,1810000,0.16,50000,100000000,
ICO5,DA1099,PRO1220,PLAT0,CAT0,TR0,1020000,0.15,125000,,
ICO6,DA1179,PRO1305,PLAT0,CAT0,TR0,22860000,0.06,,,5
ICO7,DA1179,PRO1311,PLAT2,CAT2,TR0,8300000,0.12,300000,400000000,32
ICO8,DA1180,PRO1306,PLAT0,CAT0,TR0,100000,0.05,100000,100000000,
ICO9,DA69,PRO84,PLAT1,CAT0,TR0,500000,0.1,500000,100000000,42
ICO10,DA69,PRO87,PLAT2,CAT2,TR0,1910000,,95000,10000000000,
ICO11,DA127,PRO160,PLAT1,CAT0,TR0,2000000,0.1,250000,,47.05
ICO12,DA127,PRO161,PLAT2,CAT3,TR0,3650000,0.2,150000,,
ICO13,DA251,PRO301,PLAT1,CAT0,TR0,27420000,0.1,30000000,3000000000,10
ICO14,DA1002,PRO1116,PLAT1,CAT0,TR0,6100000,0,,10000000000,40
ICO15,DA1002,PRO1117,PLAT2,CAT1,TR0,6030000,0,,6000000000,13
ICO16,DA1081,PRO1201,PLAT1,CAT0,TR0,560000,0.03,560000,1000000000,
ICO17,DA1150,PRO1273,PLAT1,CAT0,TR0,,,,200000000,
ICO18,DA1204,PRO1332,PLAT1,CAT0,TR0,3000000,20,3000000,,
ICO19,DA1204,PRO1331,PLAT2,CAT2,TR1,1350000,0.12,150000,120000000,1
ICO20,DA5,PRO5,PLAT2,CAT0,TR0,1700000,0.03,900000,470000000,14.9
ICO21,DA17,PRO17,PLAT2,CAT0,TR0,2300000,0.01,,10000000000,15
ICO22,DA17,PRO22,PLAT2,CAT1,TR0,970000,0.05,81250,65000000,35
ICO23,DA18,PRO19,PLAT2,CAT0,TR0,500000,,,,
ICO24,DA22,PRO24,PLAT2,CAT0,TR0,3000000,,,,
ICO25,DA24,PRO26,PLAT2,CAT0,TR0,4000000,0.3,3990000,,
ICO26,DA26,PRO28,PLAT2,CAT0,TR0,2600000,0.17,,100000000,
ICO27,DA23,PRO30,PLAT2,CAT0,TR0,130000,0.03,,10000000000,
ICO28,DA23,PRO33,PLAT4,CAT0,TR0,450000,0.45,450000,,
ICO29,DA23,PRO25,PLAT2,CAT2,TR0,90000,0.4,,10000000,
ICO30,DA23,PRO43,PLAT2,CAT2,TR0,3040000,0.04,160000,400000000,
ICO31,DA33,PRO39,PLAT2,CAT0,TR0,37600000,4.3,25800000,200000000,3
ICO32,DA37,PRO44,PLAT2,CAT0,TR0,1410000,0.12,100000,100000000,
ICO33,DA37,PRO50,PLAT4,CAT0,TR0,48150000,0.25,18750000,,28
ICO34,DA50,PRO62,PLAT2,CAT0,TR0,600000,0.06,600000,,
ICO35,DA52,PRO64,PLAT2,CAT0,TR0,2500000,0.03,,500000000,20
ICO36,DA54,PRO66,PLAT2,CAT0,TR0,2400000,0.5,1000000,100000000,
ICO37,DA56,PRO68,PLAT2,CAT0,TR0,3580000,0.25,325000,100000000,
ICO38,DA56,PRO72,PLAT2,CAT2,TR0,,0.12,,,
ICO39,DA58,PRO70,PLAT2,CAT0,TR0,70000,0.05,70000,100000000,7
ICO40,DA67,PRO82,PLAT2,CAT0,TR0,11000000,17.09,,,
ICO41,DA70,PRO86,PLAT2,CAT0,TR0,5200000,2.93,5200750,100000000,
ICO42,DA74,PRO91,PLAT2,CAT0,TR0,4700000,,,,
ICO43,DA80,PRO99,PLAT2,CAT0,TR0,3000000,1,,100000000,
ICO44,DA84,PRO111,PLAT2,CAT0,TR0,1510000,0.05,507600,182000000,
ICO45,DA84,PRO106,PLAT2,CAT1,TR0,2250000,,,100000000,20
ICO46,DA84,PRO110,PLAT2,CAT2,TR0,4550000,,,200000000,30
ICO47,DA90,PRO114,PLAT2,CAT0,TR0,75000,0.5,75000,100000000,
ICO48,DA101,PRO129,PLAT2,CAT0,TR0,200000,0.2,200000,100000000,21
ICO49,DA108,PRO138,PLAT2,CAT0,TR0,59750000,15,73125000,64999723,7.5
ICO50,DA113,PRO143,PLAT2,CAT0,TR0,1500000,0.3,250000,100000000,
ICO51,DA116,PRO146,PLAT2,CAT0,TR0,1500000,0.25,200000,50000000,
ICO52,DA116,PRO147,PLAT2,CAT1,TR0,8500000,2,500000,,
ICO53,DA118,PRO149,PLAT2,CAT0,TR0,450000,0.15,450000,150000000,33
ICO54,DA119,PRO151,PLAT2,CAT0,TR0,1500000,0.25,160000,100000000,16
ICO55,DA120,PRO152,PLAT2,CAT0,TR0,240000,,,150000000,
ICO56,DA141,PRO176,PLAT2,CAT0,TR0,3400000,1,40000000,1000000000,15
ICO57,DA167,PRO205,PLAT2,CAT0,TR0,8100000,0.01,200000,10000000000,19.8
ICO58,DA171,PRO209,PLAT2,CAT0,TR0,1160000,0.4,,100000000,
ICO59,DA189,PRO229,PLAT2,CAT0,TR0,100000,,,150000000,
ICO60,DA189,PRO231,PLAT2,CAT1,TR0,1060000,,,500000000,
ICO61,DA192,PRO233,PLAT2,CAT0,TR0,2100000,,,100000000,33
ICO62,DA191,PRO235,PLAT2,CAT0,TR0,1470000,0.09,,,13
ICO63,DA191,PRO232,PLAT2,CAT3,TR0,2000000,0.25,750000,150000000,25
ICO64,DA199,PRO244,PLAT2,CAT0,TR0,1000000,0.01,100250,10000000000,1
ICO65,DA199,PRO242,PLAT2,CAT0,TR1,300000,0,300000,10000000000,1
ICO66,DA211,PRO255,PLAT2,CAT0,TR0,13000000,0.15,15000000,2000000000,5
ICO67,DA217,PRO261,PLAT2,CAT0,TR0,3000000,2.5,5000000,100000000,
ICO68,DA223,PRO267,PLAT2,CAT0,TR0,,,,150000000,
ICO69,DA223,PRO277,PLAT2,CAT0,TR0,,,,1E+11,
ICO70,DA223,PRO270,PLAT2,CAT1,TR0,,,,,
ICO71,DA227,PRO272,PLAT2,CAT0,TR0,310000,,,1000000000,
ICO72,DA228,PRO273,PLAT2,CAT0,TR0,7140000,0.96,4800000,1000000000,
ICO73,DA230,PRO275,PLAT2,CAT0,TR0,5000000,0.32,175000,100000000,22.54
ICO74,DA232,PRO278,PLAT2,CAT0,TR0,4410000,0.21,4410000,420000000,
ICO75,DA240,PRO287,PLAT2,CAT0,TR0,1500000,1,,300000000,
ICO76,DA249,PRO298,PLAT2,CAT0,TR0,24800000,8.62,,,
ICO77,DA268,PRO319,PLAT2,CAT0,TR0,4200000,0.03,600000,,1
ICO78,DA271,PRO322,PLAT2,CAT0,TR0,2400000,0,300000,1E+11,
ICO79,DA272,PRO323,PLAT2,CAT0,TR0,3650000,0.06,300000,1000000000,
ICO80,DA272,PRO328,PLAT3,CAT0,TR0,11760000,0.04,160000,1700000000,
ICO81,DA278,PRO331,PLAT2,CAT0,TR0,2500000,0.03,100000,,
ICO82,DA321,PRO382,PLAT2,CAT0,TR0,5360000,0.45,1220000,100000000,
ICO83,DA353,PRO416,PLAT2,CAT0,TR0,32000000,0.03,2000000,4000000000,
ICO84,DA367,PRO434,PLAT2,CAT0,TR0,10080000,1,1093750,100000000,
ICO85,DA371,PRO441,PLAT2,CAT0,TR0,22000000,1.65,24750000,1000000000,
ICO86,DA371,PRO439,PLAT2,CAT2,TR0,6000000,,,,
ICO87,DA378,PRO451,PLAT2,CAT0,TR0,15000000,0.45,40500000,1000000000,
ICO88,DA378,PRO447,PLAT2,CAT3,TR0,38300000,0.07,35000000,,
ICO89,DA381,PRO453,PLAT2,CAT0,TR0,6200000,0.1,500000,500000000,
ICO90,DA396,PRO470,PLAT2,CAT0,TR0,10000000,0.01,4536000,7200000000,25
ICO91,DA399,PRO486,PLAT2,CAT0,TR0,80000,0.04,80000,2000000000,
ICO92,DA399,PRO475,PLAT2,CAT0,TR1,11350000,0.01,7200000,10000000000,5
ICO93,DA399,PRO484,PLAT2,CAT1,TR0,3150000,0,148000,3000000000,20
ICO94,DA411,PRO491,PLAT2,CAT0,TR0,1450000,0.01,200000,5000000000,
ICO95,DA411,PRO493,PLAT1,CAT4,TR0,1900000,0.06,450000,250000000,
ICO96,DA467,PRO555,PLAT2,CAT0,TR0,10230000,2.83,22640000,100000000,
ICO97,DA475,PRO563,PLAT2,CAT0,TR0,,,,,
ICO98,DA506,PRO596,PLAT2,CAT0,TR0,100000,0.29,100000,1000000000,
ICO99,DA509,PRO599,PLAT2,CAT0,TR0,25000000,0.25,25000000,1000000000,
ICO100,DA515,PRO607,PLAT2,CAT0,TR0,2500000,0.15,400000,100000000,
ICO101,DA559,PRO653,PLAT2,CAT0,TR0,12000000,0.01,2500000,10000000000,
ICO102,DA560,PRO654,PLAT2,CAT0,TR0,3240000,0.02,3740000,4000000000,
ICO103,DA577,PRO671,PLAT2,CAT0,TR0,800000,0.1,800000,692000000,1.2
ICO104,DA583,PRO677,PLAT2,CAT0,TR0,500000,0.25,350000,1000000000,
ICO105,DA583,PRO680,PLAT2,CAT7,TR0,300000,0,,15000000000,
ICO106,DA585,PRO679,PLAT2,CAT0,TR0,23000000,,,,
ICO107,DA592,PRO687,PLAT2,CAT0,TR0,8500000,,500000,12000000000,
ICO108,DA607,PRO703,PLAT2,CAT0,TR0,2600000,1,200000,100000000,
ICO109,DA631,PRO728,PLAT2,CAT0,TR0,4000000,,,,
ICO110,DA637,PRO734,PLAT2,CAT0,TR0,250000,250,,1000,
ICO111,DA675,PRO773,PLAT2,CAT0,TR0,9000000,,,1000000000,
ICO112,DA681,PRO779,PLAT2,CAT0,TR0,8500000,0.1,2500000,500000000,25
ICO113,DA681,PRO783,PLAT8,CAT1,TR0,170000,0.02,170000,4000000000,
ICO114,DA705,PRO804,PLAT2,CAT0,TR0,4500000,0.2,268000,200000000,
ICO115,DA718,PRO817,PLAT2,CAT0,TR0,4200000,0.1,,400000000,8.25
ICO116,DA762,PRO861,PLAT2,CAT0,TR0,30400000,1.8,5400000,100000000,28.12
ICO117,DA852,PRO954,PLAT2,CAT0,TR0,19110000,,,1000000000,25
ICO118,DA890,PRO997,PLAT2,CAT0,TR0,25500000,0.04,,1755313373,40
ICO119,DA892,PRO999,PLAT2,CAT0,TR0,9450000,,,500000000,50
ICO120,DA946,PRO1053,PLAT2,CAT0,TR0,21000000,0.09,6000000,1152997575,17.6
ICO121,DA966,PRO1074,PLAT2,CAT0,TR0,4000000,0,,10000000000,20
ICO122,DA967,PRO1075,PLAT2,CAT0,TR0,5000000,0.01,3000000,,
ICO123,DA975,PRO1087,PLAT2,CAT0,TR0,1000000,0.02,,1000000000,0.5
ICO124,DA975,PRO1085,PLAT2,CAT1,TR0,500000,0.01,,10000000000,0.5
ICO125,DA996,PRO1110,PLAT2,CAT0,TR0,11000000,0.07,,,30
ICO126,DA1014,PRO1130,PLAT2,CAT0,TR0,5000000,0.98,,50000000,10
ICO127,DA1038,PRO1156,PLAT2,CAT0,TR0,2000000,0.2,,250000000,
ICO128,DA1041,PRO1160,PLAT2,CAT0,TR0,6700000,0.08,6700000,1033200000,56.23
ICO129,DA1046,PRO1165,PLAT2,CAT0,TR0,10850000,0.47,,100000000,27.37
ICO130,DA1073,PRO1193,PLAT2,CAT0,TR0,10000,0.1,3450000,100000000,45
ICO131,DA1097,PRO1218,PLAT2,CAT0,TR0,250000,0.1,250000,9900000,25.25
ICO132,DA1103,PRO1224,PLAT2,CAT0,TR0,7150000,1.3,9750000,150000000,
ICO133,DA1104,PRO1225,PLAT2,CAT0,TR0,1040000,52,1040000,1000000,
ICO134,DA1105,PRO1226,PLAT2,CAT0,TR0,5250000,0.03,4375000,4140000000,1.8
ICO135,DA1111,PRO1232,PLAT2,CAT0,TR0,310000,0.01,80000,10000000000,
ICO136,DA1125,PRO1247,PLAT2,CAT0,TR0,200000,0.05,200000,,
ICO137,DA1129,PRO1251,PLAT2,CAT0,TR0,12000000,0.03,,10000000000,
ICO138,DA1140,PRO1263,PLAT2,CAT0,TR0,4400000,0.45,,100000000,
ICO139,DA1148,PRO1271,PLAT2,CAT0,TR0,1410000,0.55,50000,8795645,
ICO140,DA1148,PRO1277,PLAT2,CAT3,TR0,680000,0.03,,,
ICO141,DA1166,PRO1291,PLAT2,CAT0,TR0,70000,0.7,70000,5000000,44
ICO142,DA1166,PRO1294,PLAT2,CAT2,TR0,60600,0.05,60600,88888888,
ICO143,DA1184,PRO1310,PLAT2,CAT0,TR0,,0.25,,100000000,
ICO144,DA1188,PRO1315,PLAT2,CAT0,TR0,2600000,0.1,400000,,
ICO145,DA1194,PRO1321,PLAT2,CAT0,TR0,8300000,6500,7800000,10000,
ICO146,DA1196,PRO1323,PLAT2,CAT0,TR0,130000,0.19,130000,100000000,0.67
ICO147,DA1198,PRO1325,PLAT2,CAT0,TR0,10000000,0.05,500000,,
ICO148,DA1200,PRO1327,PLAT2,CAT0,TR0,4000000,,,100000000,26
ICO149,DA1208,PRO1336,PLAT2,CAT0,TR0,,0.16,,90000000,26.5
ICO150,DA1213,PRO1341,PLAT2,CAT0,TR0,7000000,4,20000000,100000000,
ICO151,DA1219,PRO1347,PLAT2,CAT0,TR0,2930000,10,,1000000,46
ICO152,DA104,PRO133,PLAT2,CAT0,TR1,2700000,0.08,445000,100000000,35
ICO153,DA136,PRO171,PLAT2,CAT0,TR1,7500000,134,10050000,500000,15
ICO154,DA182,PRO220,PLAT2,CAT0,TR1,3000000,0.12,300000,200000000,19.27
ICO155,DA258,PRO308,PLAT2,CAT0,TR1,3000000,0.01,3000000,10000000000,
ICO156,DA275,PRO326,PLAT2,CAT0,TR1,180000,0.35,175000,100000000,2
ICO157,DA275,PRO329,PLAT2,CAT4,TR0,1850000,0.13,195000,100000000,
ICO158,DA341,PRO403,PLAT2,CAT0,TR1,,,,20682,
ICO159,DA389,PRO462,PLAT2,CAT0,TR1,10000000,0.1,10000000,1000000000,
ICO160,DA394,PRO471,PLAT2,CAT0,TR1,9000000,0.01,1000000,10000000000,25
ICO161,DA394,PRO467,PLAT2,CAT1,TR0,5700000,0.7,700000,100000000,
ICO162,DA413,PRO494,PLAT2,CAT0,TR1,20000000,0.4,10000000,500000000,
ICO163,DA465,PRO553,PLAT2,CAT0,TR1,9900000,0.65,6500000,200000000,
ICO164,DA490,PRO578,PLAT2,CAT0,TR1,69000000,,,69420000000,
ICO165,DA540,PRO634,PLAT2,CAT0,TR1,30000000,0.05,20000000,5000000000,
ICO166,DA620,PRO717,PLAT2,CAT0,TR1,460000,0.04,460000,1000000000,
ICO167,DA684,PRO782,PLAT2,CAT0,TR1,28200000,,,1000000000,
ICO168,DA1160,PRO1285,PLAT2,CAT0,TR1,3290000,,200000,8888,
ICO169,DA1162,PRO1287,PLAT2,CAT0,TR1,1050000,0.1,50000,100000000,10
ICO170,DA1207,PRO1335,PLAT2,CAT0,TR1,4500000,4.5,,100000000,2
ICO171,DA451,PRO536,PLAT3,CAT0,TR0,17800000,1,4000000,100000000,
ICO172,DA451,PRO537,PLAT1,CAT4,TR0,400000,0.2,400000,100000000,
ICO173,DA451,PRO538,PLAT2,CAT4,TR0,8200000,0.14,4194000,1000000000,15
ICO174,DA450,PRO535,PLAT3,CAT0,TR1,1200000,0.12,1200000,1000000000,
ICO175,DA66,PRO85,PLAT4,CAT0,TR0,11200000,6,1200000,10000000,22
ICO176,DA66,PRO81,PLAT2,CAT9,TR0,28295,,,100000000,
ICO177,DA469,PRO557,PLAT4,CAT0,TR0,53250000,0.5,31250000,1000000000,7.5
ICO178,DA472,PRO560,PLAT4,CAT0,TR0,,,,1000000000,
ICO179,DA484,PRO572,PLAT4,CAT0,TR0,20000000,,,1000000000,
ICO180,DA1034,PRO1152,PLAT21,CAT0,TR0,500000,0.03,,400000000,5
ICO181,DA63,PRO77,PLAT0,CAT1,TR0,57400000,0.2,30000000,1000000000,17.5
ICO182,DA63,PRO93,PLAT2,CAT2,TR0,1670000,,,,
ICO183,DA99,PRO134,PLAT0,CAT1,TR0,150000,0.01,,2500000000,26
ICO184,DA99,PRO126,PLAT1,CAT2,TR0,2900000,2,2900000,10000000,
ICO185,DA205,PRO249,PLAT0,CAT1,TR0,30500000,0.25,20000000,1000000000,
ICO186,DA305,PRO361,PLAT0,CAT1,TR0,15000000,0.3,630000,1000000000,
ICO187,DA359,PRO423,PLAT0,CAT1,TR0,,,,1000000000,
ICO188,DA400,PRO477,PLAT0,CAT1,TR0,,0.51,719600000,7000000000,
ICO189,DA677,PRO775,PLAT0,CAT1,TR0,15000000,,,1000000000,
ICO190,DA1171,PRO1297,PLAT0,CAT1,TR0,150000,0.04,150000,594717456,
ICO191,DA1,PRO1,PLAT1,CAT1,TR0,,0.02,50000,500000000,
ICO192,DA4,PRO4,PLAT1,CAT1,TR0,3590000,0.02,510000,1000000000,18
ICO193,DA16,PRO16,PLAT1,CAT1,TR0,,0.1,,100000000,10
ICO194,DA35,PRO41,PLAT1,CAT1,TR0,7500000,0.1,7500000,500000000,
ICO195,DA48,PRO59,PLAT1,CAT1,TR0,860000,0.01,30000,500000000,38.6
ICO196,DA145,PRO180,PLAT1,CAT1,TR0,700000,0,100000,1000000000,35
ICO197,DA198,PRO240,PLAT1,CAT1,TR0,2300000,0,220000,10000000000,
ICO198,DA229,PRO274,PLAT1,CAT1,TR0,3720000,0.08,120000,250000000,
ICO199,DA231,PRO276,PLAT1,CAT1,TR0,1160000,0.01,80000,1000000000,
ICO200,DA233,PRO279,PLAT1,CAT1,TR0,1950000,0.02,156000,680000000,
ICO201,DA260,PRO310,PLAT1,CAT1,TR0,3500000,0.05,120000,250000000,
ICO202,DA266,PRO317,PLAT1,CAT1,TR0,1000000,,,950000000,14
ICO203,DA276,PRO327,PLAT1,CAT1,TR0,4000000,1,4000000,40000000,
ICO204,DA301,PRO356,PLAT1,CAT1,TR0,2090000,0.3,360000,100000000,
ICO205,DA302,PRO362,PLAT1,CAT1,TR0,130000,0.1,132000,300000000,
ICO206,DA302,PRO358,PLAT2,CAT1,TR0,1700000,0.03,,540000000,
ICO207,DA322,PRO383,PLAT1,CAT1,TR0,4000000,1,4000000,40000000,
ICO208,DA323,PRO384,PLAT1,CAT1,TR0,870000,0.18,69231,100000000,
ICO209,DA323,PRO389,PLAT2,CAT4,TR0,100000,0.05,100000,200000000,
ICO210,DA332,PRO394,PLAT1,CAT1,TR0,60000,0.04,60000,,
ICO211,DA333,PRO395,PLAT1,CAT1,TR0,5510000,,,1E+11,
ICO212,DA393,PRO466,PLAT1,CAT1,TR0,,,,20000000,
ICO213,DA417,PRO499,PLAT1,CAT1,TR0,2850000,0.08,195000,1000000000,
ICO214,DA418,PRO500,PLAT1,CAT1,TR0,,,,30000000,
ICO215,DA443,PRO528,PLAT1,CAT1,TR0,2250000,0.02,600000,1000000000,
ICO216,DA479,PRO567,PLAT1,CAT1,TR0,4000000,1,4000000,40000000,
ICO217,DA495,PRO584,PLAT1,CAT1,TR0,3330000,0.09,108000,200000000,
ICO218,DA524,PRO625,PLAT1,CAT1,TR0,3140000,0.02,136025,5000000000,
ICO219,DA524,PRO617,PLAT2,CAT1,TR0,2810000,0,30000,50000000000,
ICO220,DA544,PRO638,PLAT1,CAT1,TR0,4600000,0.08,6000000,1000000000,
ICO221,DA548,PRO642,PLAT1,CAT1,TR0,1560000,0.01,242500,1000000000,
ICO222,DA557,PRO651,PLAT1,CAT1,TR0,9250000,0.08,4000000,1000000000,
ICO223,DA574,PRO668,PLAT1,CAT1,TR0,30000,1,,100000000,24
ICO224,DA644,PRO742,PLAT1,CAT1,TR0,80000,0.05,80000,1000000000,
ICO225,DA653,PRO751,PLAT1,CAT1,TR0,1430000,0.01,300000,5000000000,9
ICO226,DA669,PRO767,PLAT1,CAT1,TR0,500000,0.01,500000,1000000000,
ICO227,DA693,PRO792,PLAT1,CAT1,TR0,,,300000,1000000000,27
ICO228,DA710,PRO809,PLAT1,CAT1,TR0,1200000,0.01,750000,1000000000,14
ICO229,DA719,PRO818,PLAT1,CAT1,TR0,12500000,0.03,2500000,2000000000,
ICO230,DA749,PRO848,PLAT1,CAT1,TR0,,0.01,850000,1000000000,11.5
ICO231,DA1009,PRO1125,PLAT1,CAT1,TR0,5150000,0,,20000000000,44
ICO232,DA1024,PRO1141,PLAT1,CAT1,TR0,1520000,0.03,700000,1000000000,2
ICO233,DA1028,PRO1146,PLAT1,CAT1,TR0,2790000,0.08,500000,150000000,35.55
ICO234,DA1084,PRO1204,PLAT1,CAT1,TR0,236500000,,,190000000,
ICO235,DA1229,PRO1359,PLAT1,CAT1,TR0,12000000,0.05,2500000,1000000000,5
ICO236,DA12,PRO12,PLAT2,CAT1,TR0,2500000,0.35,4175000,200000000,14.4
ICO237,DA15,PRO15,PLAT2,CAT1,TR0,,0.25,,,
ICO238,DA15,PRO18,PLAT2,CAT3,TR0,1660000,0.75,225000,10000000,
ICO239,DA25,PRO27,PLAT2,CAT1,TR0,750000,0.01,750000,10000000000,
ICO240,DA30,PRO35,PLAT2,CAT1,TR0,100000,0.05,100000,100000000,
ICO241,DA30,PRO34,PLAT2,CAT3,TR0,260000,0.23,101250,10000000,
ICO242,DA40,PRO47,PLAT2,CAT1,TR0,110000,0.08,112125,100000000,
ICO243,DA41,PRO49,PLAT2,CAT1,TR0,2830000,0.12,125000,208969354,
ICO244,DA45,PRO55,PLAT2,CAT1,TR0,3000000,0.3,,100000000,
ICO245,DA47,PRO61,PLAT2,CAT1,TR0,1900000,,,255000000,
ICO246,DA47,PRO57,PLAT2,CAT9,TR0,2200000,0.1,50000,120000000,
ICO247,DA53,PRO65,PLAT2,CAT1,TR0,,0.1,,100000000,6.5
ICO248,DA59,PRO71,PLAT2,CAT1,TR0,14440000,0.35,9450000,1000000000,56.5
ICO249,DA71,PRO88,PLAT2,CAT1,TR0,2000000,,,10000000000,
ICO250,DA73,PRO90,PLAT2,CAT1,TR0,830000,,,,
ICO251,DA78,PRO97,PLAT2,CAT1,TR0,3000000,5,,10000000,
ICO252,DA83,PRO105,PLAT2,CAT1,TR0,780000,0.04,,200000000,16.14
ICO253,DA83,PRO104,PLAT2,CAT2,TR0,1420000,0.1,170000,75000000,21.5
ICO254,DA85,PRO107,PLAT2,CAT1,TR0,2200000,0.12,180000,100000000,30
ICO255,DA87,PRO109,PLAT2,CAT1,TR0,2000000,5.49,,,
ICO256,DA87,PRO116,PLAT2,CAT1,TR0,5000000,0.5,,50000000,41
ICO257,DA88,PRO112,PLAT2,CAT1,TR0,2640000,0,2639974,9.9999E+14,
ICO258,DA88,PRO117,PLAT2,CAT1,TR0,1240000,,,65000000,20.3
ICO259,DA89,PRO113,PLAT2,CAT1,TR0,1320000,0.6,200000,15000000,19.01
ICO260,DA94,PRO121,PLAT2,CAT1,TR0,800000,4.96,19840000,100000000,
ICO261,DA98,PRO125,PLAT2,CAT1,TR0,1000000,0,160000,,32
ICO262,DA102,PRO130,PLAT2,CAT1,TR0,1700000,0.07,50000,200000000,21.77
ICO263,DA102,PRO131,PLAT2,CAT7,TR0,2400000,0,20000,,
ICO264,DA111,PRO141,PLAT2,CAT1,TR0,2000000,0.05,333000,,
ICO265,DA114,PRO144,PLAT2,CAT1,TR0,3000000,0.05,200000,888888888,
ICO266,DA115,PRO145,PLAT2,CAT1,TR0,1830000,,,,
ICO267,DA121,PRO153,PLAT2,CAT1,TR0,1500000,0.4,140000,100000000,11.35
ICO268,DA122,PRO154,PLAT2,CAT1,TR0,15930000,1.92,,,
ICO269,DA122,PRO156,PLAT1,CAT9,TR0,4300000,0.05,243750,1000000000,15.5
ICO270,DA125,PRO158,PLAT2,CAT1,TR0,2120000,0.05,225000,300000000,19.5
ICO271,DA128,PRO162,PLAT2,CAT1,TR0,100100000,0.75,90000000,,
ICO272,DA129,PRO163,PLAT2,CAT1,TR0,1600000,,,100000000,16.9
ICO273,DA133,PRO167,PLAT2,CAT1,TR0,140000000,3,,,
ICO274,DA131,PRO169,PLAT2,CAT1,TR0,1700000,0.03,,1000000000,8
ICO275,DA131,PRO165,PLAT1,CAT9,TR0,120000,0.01,120000,1000000000,10
ICO276,DA139,PRO174,PLAT2,CAT1,TR0,490000,,,64359360,
ICO277,DA140,PRO175,PLAT2,CAT1,TR0,38900000,0.2,20000000,2000000000,20
ICO278,DA142,PRO177,PLAT2,CAT1,TR0,,,,,
